track_id,artist,title,timestamp
TRAAAAW128F429D538,Casual,I Didn't Mean To,2011-08-02 20:13:25.674526
TRAAABD128F429CF47,The Box Tops,Soul Deep,2011-08-12 04:04:21.577908
TRAAADZ128F9348C2E,La Sonora Santanera,Amor De Cabaret,2011-08-09 18:24:38.890272
TRAAAEF128F4273421,Adam Ant,Something Girls,2011-08-11 21:57:49.876264
TRAAAFD128F92F423A,Gob,Face the Ashes,2011-08-09 01:59:41.352247
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),2011-09-07 23:46:34.790080
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),2011-08-11 21:18:23.312581
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,2011-08-03 00:30:31.051080
TRAAARJ128F9320760,Planet P Project,Pink World,2011-08-09 16:39:17.211274
TRAAAVG12903CFA543,CLP,Insatiable (Instrumental Version),2011-08-02 06:36:59.879759
TRAAAVO128F93133D4,Jennyanykind,Young Boy Blues,2011-08-12 10:41:03.336417
TRAABDL12903CAABBA,Andy Andy,La Culpa,2011-08-10 02:10:28.397450
TRAABJL12903CDCF1A,Bob Azzam,Auguri cha cha,2011-09-07 22:15:18.913510
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,2011-08-16 01:09:57.925208
TRAABLR128F423B7E3,Blue Rodeo,Floating,2011-09-14 11:53:00.722858
TRAABNV128F425CEE1,Richard Souther,High Tide,2011-08-04 20:36:25.007467
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,2011-08-11 21:06:14.774508
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,2011-08-03 08:41:13.315934
TRAABXG128F9318EBD,lextrical,Synthetic Dream,2011-08-02 02:15:56.793503
TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round,2011-09-07 20:42:40.396517
TRAABYW128F4244559,Alice Stuart,Kassie Jones,2011-08-11 22:53:12.295260
TRAACCG128F92E8A55,Elena,Setanta matins,2011-08-03 01:00:58.027531
TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,2011-08-12 13:39:31.292664
TRAACFV128F935E50B,Sue Thompson,James (Hold The Ladder Steady),2011-08-04 05:07:17.844330
TRAACHN128F1489601,Five Bolt Main,Made Like This (Live),2011-08-09 18:22:22.011846
TRAACIW12903CC0F6D,CLP,Superconfidential,2011-09-08 02:36:17.400140
TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),2011-08-02 12:35:03.752641
TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease,2011-08-01 15:31:19.627918
